RIL,420 SET,411 SET,Core-Pop165,Core-Pop18,FLOLD,FLOSD,DM10,DM3,NP10,NP3,AA10,AA3,HU10,HU3,NO10,PO3,CL10,CL3,PRL,LRN,LRD,LRL,SO10,SO3
169,X,X,,,28,63,9.3,6.2,6.83,2.36,189.8,50.5,91.3,85.5,1693.1,22.8,32.4,352.3,84.8,25.8,0.304,221.9,103.8,32.2
170,X,X,X,,32,52,20.2,7.6,7.47,2.26,155.4,50.0,92.8,86.9,2087.6,21.4,36.0,351.6,80.0,17.8,0.224,295.3,81.7,43.9
171,X,X,,,64,74,17.6,8.2,7.01,1.81,155.5,41.0,92.1,85.0,2207.4,19.5,34.2,305.2,94.8,25.7,0.271,283.7,160.8,80.8
172,X,X,,,28,46,14.1,5.2,7.71,2.37,144.4,47.6,93.5,89.0,2620.8,15.0,37.3,517.2,84.4,17.3,0.202,170.1,118.0,91.1
173,X,X,X,X,30,55,21.1,8.8,6.65,1.82,124.3,33.5,92.6,83.9,1927.3,14.0,39.2,250.8,82.6,25.5,0.308,226.1,142.3,22.8
174,X,X,,,35,67.5,19.5,6.2,7.04,2.15,166.8,41.8,92.4,86.0,2079.3,18.0,39.8,471.7,73.3,23.9,0.324,204.4,125.8,44.0
175,X,X,X,X,32,63.5,15.3,6.2,7.57,2.05,170.3,51.9,92.4,85.6,2361.8,15.4,33.6,386.6,73.6,18.6,0.251,142.1,75.5,23.9
176,X,X,X,,26,47.5,16.1,4.4,7.22,2.39,138.6,53.9,92.7,88.5,1992.6,11.6,35.9,421.0,61.6,13.6,0.221,72.5,143.9,60.9
177,X,X,,,26,55.5,17.2,5.8,7.03,2.33,138.7,43.2,92.9,86.6,2043.9,17.6,46.5,387.7,83.7,26.8,0.32,313.2,165.3,137.1
178,X,X,,,31,52,16.6,6.4,7.14,2.12,143.5,39.0,92.6,87.0,2144.2,13.0,29.7,319.8,87.4,21.2,0.239,219.7,130.1,77.3
179,X,X,X,,28,47.5,17.5,6.8,6.87,2.12,115.1,41.4,93.2,86.9,2063.2,16.0,34.3,329.9,82.7,19.6,0.236,188.2,149.5,58.2
180,X,X,X,,29,58.5,15.9,6.0,7.27,2.49,142.7,48.7,93.2,88.6,2403.3,21.2,53.8,478.8,84.9,28.4,0.335,323.4,139.4,98.9
181,X,X,,,43,51,17.1,4.6,6.88,2.43,134.0,68.0,92.0,87.6,2167.2,8.2,36.1,385.2,80.8,18.0,0.222,143.6,249.5,165.8
182,X,X,,,32,55,20.4,7.0,7.13,1.95,175.1,40.6,92.6,85.7,2156.5,16.2,39.2,338.8,82.1,26.0,0.316,300.1,103.4,52.8
183,X,X,X,,34,70,15.2,6.0,6.87,2.34,149.1,53.8,92.5,87.2,2319.4,17.1,40.8,440.3,70.9,20.2,0.285,221.5,223.7,116.6
184,X,X,,,28,49.5,18.5,6.4,7.16,2.32,148.9,50.3,92.3,86.8,2241.0,15.6,39.5,464.0,90.8,24.0,0.264,257.9,119.6,66.8
185,X,X,,,45,72,19.9,5.4,6.61,1.72,140.7,38.0,92.0,85.1,1978.8,15.2,44.5,458.8,75.8,21.8,0.287,271.7,79.1,27.7
186,X,X,X,,32,55,15.8,7.0,7.13,2.12,137.4,44.6,93.1,87.4,2185.9,15.6,42.2,509.9,91.9,24.2,0.264,263.9,102.4,29.4
187,X,X,X,,32,60,22.2,6.8,6.76,2.01,153.5,39.4,92.2,85.8,1743.6,17.8,37.8,329.4,80.0,21.2,0.265,233.0,129.0,100.0
188,X,X,,,26,52.5,16.7,4.2,7.31,2.14,143.4,40.4,93.1,87.4,2319.1,19.3,33.2,404.0,85.6,23.0,0.268,232.3,131.7,94.0
189,X,X,,,30,57.5,18.3,5.6,7.39,1.88,152.4,39.2,92.8,85.9,2482.3,22.0,39.7,433.6,78.4,19.0,0.24,157.4,105.9,45.4
190,X,X,X,,30,54,25.3,7.7,6.82,1.93,134.7,37.4,92.1,86.2,2162.1,13.0,47.6,398.2,92.2,29.0,0.314,314.4,139.7,49.4
191,X,X,X,,33,59.5,18.4,7.1,7.03,1.86,140.8,33.7,92.2,85.0,2205.1,14.8,34.9,257.8,86.8,27.0,0.311,305.1,106.7,67.0
192,X,X,,,32,57,15.7,4.5,6.95,1.96,120.5,41.0,92.5,86.2,1768.5,33.4,32.5,375.2,71.4,15.3,0.214,129.9,138.5,91.0
193,X,X,,,43,59,19.2,8.0,6.68,1.84,141.7,38.6,92.2,86.5,1958.0,11.6,35.4,374.5,76.0,15.9,0.207,139.0,124.1,63.0
194,X,X,X,X,31,55.5,18.7,5.2,7.14,2.06,155.1,41.3,92.6,86.8,2091.6,14.0,41.0,417.3,89.0,26.2,0.295,319.9,113.0,96.2
195,X,X,X,,30,56,23.7,7.1,6.33,1.66,166.8,36.1,91.8,83.5,1731.1,13.2,38.5,300.3,89.2,27.5,0.306,297.7,138.5,51.3
196,X,X,,,27,47.5,15.3,5.4,6.73,2.12,142.0,50.2,92.0,86.2,1712.8,11.5,39.8,308.2,72.8,15.5,0.213,148.3,236.3,174.1
197,X,X,X,,35,70,18.0,5.2,6.72,2.78,154.3,91.9,92.2,86.9,2147.8,26.0,45.5,533.0,66.8,14.0,0.213,131.2,160.5,102.3
198,X,X,X,,32,52.5,18.5,7.4,7.36,2.22,143.9,45.9,92.9,87.0,1972.2,22.2,35.0,338.7,94.2,22.6,0.24,264.4,144.3,77.1
199,X,X,X,,31,59.5,19.5,7.2,7.40,2.05,151.7,43.3,93.2,87.0,2428.5,25.4,38.2,377.8,87.2,29.8,0.341,347.8,97.5,30.6
200,X,X,X,,35,67,23.3,7.8,6.70,1.76,154.7,34.6,92.0,85.3,1960.5,14.6,40.0,413.6,86.2,23.0,0.266,306.7,74.0,25.6
201,X,X,,,42,79.5,21.8,6.1,6.82,2.33,185.0,67.8,91.6,86.3,1884.0,12.1,41.9,499.9,73.9,22.2,0.3,208.2,84.4,61.2
202,X,X,X,,26,60,18.1,6.6,6.96,2.10,138.5,42.6,92.8,85.9,2047.4,14.8,36.6,381.2,85.9,25.0,0.291,242.9,113.3,24.4
203,X,X,,,37,50,15.1,6.2,7.14,2.18,142.1,52.8,93.2,87.5,2423.4,16.6,33.4,424.2,84.6,23.8,0.282,238.5,195.6,119.3
204,X,X,X,,35,63,19.7,7.0,6.87,2.08,156.4,43.8,92.2,85.6,2091.4,17.0,37.0,368.8,82.2,24.8,0.301,308.4,71.8,19.2
205,X,X,,,34,61.5,16.8,5.1,7.13,2.40,142.9,45.4,92.6,88.0,2306.3,14.7,40.5,406.2,76.7,26.3,0.344,291.8,118.3,112.0
206,X,X,,,27,44,16.3,4.8,6.77,1.94,127.8,38.1,93.3,86.8,2111.2,15.8,34.4,264.5,74.6,13.9,0.18,86.0,205.6,80.1
207,X,X,,,26,58,18.5,6.2,7.18,1.98,138.4,43.5,92.7,85.4,2194.1,19.6,35.7,323.8,83.5,25.8,0.308,259.3,116.5,76.2
209,X,X,,,40,66,21.9,7.4,6.71,1.92,147.4,40.2,92.1,85.2,1917.1,11.0,40.3,412.6,88.4,26.6,0.299,249.7,128.4,59.2
210,X,X,X,,56,70,17.9,6.2,6.93,2.19,144.1,44.6,92.5,87.2,2123.5,10.6,42.8,467.4,84.0,23.0,0.268,248.0,152.2,91.3
211,X,X,X,,32,53.5,21.7,8.6,6.85,2.37,144.0,53.4,92.4,87.1,1957.4,22.6,36.9,410.8,83.0,28.3,0.342,287.4,97.5,47.8
212,X,X,,,39,65.5,19.6,6.2,7.08,1.86,153.8,42.3,92.6,85.4,2223.8,12.8,38.1,343.7,66.8,10.8,0.158,91.1,122.3,101.1
213,X,X,,,37,62.5,16.5,7.2,6.59,1.77,132.8,39.9,92.0,85.2,1919.4,10.4,39.7,335.6,83.2,25.7,0.308,212.8,115.3,23.0
214,X,X,X,,31,58.5,8.1,4.4,7.08,2.27,173.6,54.6,92.2,85.2,1851.5,20.9,25.2,355.0,72.5,19.0,0.264,136.5,158.1,89.2
215,X,X,,,42,61,16.0,5.2,7.58,2.06,155.2,41.4,92.6,87.3,2467.8,15.3,38.1,410.0,92.4,20.5,0.221,316.2,112.5,67.0
216,X,X,,,30,58.5,15.9,4.4,7.00,2.70,135.5,59.3,93.2,88.2,2048.3,18.7,33.8,428.0,65.5,12.1,0.186,82.8,221.7,180.9
218,X,X,,,28,61.5,8.1,3.4,7.60,1.74,163.1,42.0,92.9,84.7,2074.0,20.6,38.9,406.4,NA,NA,NA,NA,131.6,75.0
220,X,X,X,,32,59,17.2,6.7,7.33,2.19,137.0,49.7,93.1,87.0,2410.9,13.8,42.7,403.0,71.4,20.8,0.295,167.1,186.6,56.0
221,X,X,,,34,59.5,17.1,7.0,6.97,1.92,131.1,40.9,92.8,86.9,2047.1,18.8,39.7,414.8,NA,NA,NA,NA,189.9,92.0
222,X,X,,,29,60.5,11.9,6.4,7.25,2.06,148.7,42.2,92.9,87.2,2170.9,17.8,40.5,417.8,72.7,18.6,0.257,201.7,251.1,126.9
224,X,X,,,56,71,23.0,7.6,6.80,2.21,153.2,49.8,92.1,86.3,2011.8,7.1,37.0,393.8,88.0,24.6,0.279,190.6,109.1,45.1
225,X,X,,,40,67,17.5,6.6,7.35,1.68,138.3,39.0,92.8,85.2,2244.9,14.6,31.4,312.0,86.9,27.8,0.318,281.1,133.1,98.8
226,X,X,,,51,75.5,18.8,8.4,6.48,2.25,125.2,48.4,92.5,87.1,1842.2,10.0,41.0,361.0,80.8,19.8,0.245,180.9,164.9,101.8
227,X,X,,,28,55.5,15.4,4.7,6.99,3.23,135.0,62.1,93.2,89.6,1993.5,13.6,42.4,437.1,71.7,21.0,0.294,183.4,188.1,127.9
228,X,X,,,31,65.5,17.8,8.0,7.13,2.01,155.8,42.4,92.4,85.6,2053.4,18.8,35.6,337.5,79.6,19.3,0.242,245.8,143.6,78.8
229,X,X,,,39,68,14.1,5.8,6.86,1.61,126.9,34.4,92.8,84.6,2004.3,15.1,41.0,327.8,NA,NA,NA,NA,191.7,83.8
230,X,X,,,44,66.5,20.6,5.2,7.54,2.18,178.4,43.1,92.7,87.0,2476.7,7.2,36.1,415.8,91.8,25.0,0.272,323.2,68.6,23.4
231,X,X,,,33,51.5,14.4,5.5,6.92,2.46,130.0,46.6,92.9,87.8,2092.3,13.5,40.0,399.8,84.6,19.5,0.231,196.2,198.2,134.6
232,X,X,X,,31,58.5,14.0,4.4,7.36,2.46,176.4,67.3,92.0,84.9,1990.0,21.8,34.6,329.6,77.6,21.0,0.271,211.9,147.1,130.6
233,X,X,,,32,55.5,18.2,6.7,6.82,1.80,143.5,36.4,93.0,85.2,1863.1,18.0,30.4,276.2,78.9,17.8,0.224,172.1,208.6,105.6
234,X,X,X,,30,62.5,18.6,6.8,7.07,2.08,165.8,47.2,92.1,85.9,1934.3,16.5,31.8,350.0,82.2,21.7,0.263,180.6,128.2,55.0
235,X,X,,,29,60,16.9,6.2,6.76,1.95,147.2,39.0,92.3,85.4,1763.6,13.5,37.7,400.3,82.8,25.0,0.302,208.2,131.0,55.6
236,X,X,X,,28,63.5,17.4,7.5,6.54,1.90,140.6,37.6,91.9,85.4,1781.5,24.4,35.5,330.5,74.8,20.7,0.276,173.3,166.2,66.2
237,X,X,,,31,76.5,16.6,6.8,6.76,1.88,143.3,46.4,92.0,85.2,1785.3,14.4,38.5,425.4,69.0,19.7,0.286,144.8,120.3,46.8
238,X,,,,43,62,18.4,7.6,7.42,2.30,139.6,46.5,92.8,86.4,2324.2,12.2,36.3,406.2,80.5,19.8,0.245,233.1,124.1,74.1
239,X,X,,,31,63,18.1,6.0,7.38,2.07,151.7,41.1,92.7,86.4,2154.0,20.5,40.3,492.6,78.2,23.0,0.292,173.5,115.3,28.0
240,X,X,X,,31,50,16.6,6.8,7.42,2.08,147.0,38.4,92.9,86.6,2217.6,17.5,32.5,377.8,87.6,21.7,0.247,281.6,111.5,83.2
241,X,X,,,34,64.5,20.4,6.6,7.25,1.90,142.8,39.6,93.0,86.2,2204.0,22.8,40.3,414.4,89.7,23.8,0.265,317.2,109.1,80.8
242,X,X,,,35,54.5,20.7,6.6,6.77,2.17,145.8,40.8,92.1,86.2,1820.1,14.4,30.2,335.4,83.9,23.0,0.273,195.6,138.0,110.8
243,X,X,,,30,64,21.3,7.4,7.04,2.02,151.3,39.9,92.4,84.9,1891.5,12.6,36.1,332.8,80.6,22.7,0.281,196.0,103.2,31.3
244,X,X,,,37,60,20.3,7.0,6.69,2.69,161.0,50.8,91.8,86.4,1725.4,11.0,33.7,365.4,73.1,17.5,0.237,121.9,139.1,74.4
245,X,X,,,36,62,22.4,7.4,6.80,1.92,153.3,39.4,92.3,84.6,1807.0,10.2,38.2,299.8,80.0,28.2,0.354,296.9,121.4,43.7
246,X,X,,,32,58,20.7,7.4,7.29,2.16,146.9,46.0,92.6,86.8,2016.4,13.0,34.3,317.0,83.8,16.2,0.193,182.5,113.3,72.6
247,X,,,,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,X,X,X,,36,60,19.7,8.1,7.09,2.03,166.3,38.7,92.0,85.6,1895.6,17.0,34.6,311.3,63.7,10.5,0.164,65.5,60.4,20.4
249,X,X,,,29,60,19.4,7.5,6.53,2.26,160.8,52.3,91.9,85.8,1719.7,10.2,34.6,333.6,NA,NA,NA,NA,111.3,84.4
250,X,X,,,45,74,15.6,6.8,7.11,1.78,150.6,48.0,92.4,85.9,2164.0,13.0,43.0,392.7,88.1,22.2,0.251,281.0,85.3,72.0
251,X,X,,,30,61,19.3,7.0,7.27,2.05,166.5,36.0,92.2,86.6,1891.7,9.2,31.0,369.1,76.0,17.9,0.232,155.8,81.5,43.4
252,X,X,X,,29,57.5,17.0,7.4,7.04,2.22,135.4,40.7,92.8,87.4,2090.0,13.6,37.3,376.7,79.4,23.3,0.294,198.5,129.7,34.2
253,X,X,,,26,52,18.3,7.6,7.21,2.16,135.2,30.8,93.1,88.2,1885.0,17.9,36.1,427.2,68.5,10.2,0.147,45.5,131.4,88.2
254,X,X,,,31,58.5,21.5,6.8,7.05,1.70,176.1,36.1,92.1,83.1,1861.7,12.3,34.2,287.3,85.1,22.2,0.26,193.4,70.2,28.1
255,X,X,,,30,55,17.2,6.8,7.18,1.97,162.4,39.7,92.3,85.0,1898.3,18.5,36.2,312.8,68.4,19.0,0.278,145.0,174.4,59.4
256,X,X,X,,28,51,9.3,4.8,7.26,2.17,172.1,42.2,92.4,87.2,1924.1,18.6,34.0,463.8,90.6,29.0,0.32,332.0,108.7,31.9
257,X,X,,,32,66.5,15.5,7.8,7.20,2.33,148.1,55.6,92.8,87.8,2272.3,11.4,34.8,530.0,64.1,19.8,0.31,211.4,200.3,132.1
258,X,X,,,37,70,14.6,6.1,7.43,1.94,131.8,40.0,92.9,86.7,2457.7,15.2,44.7,463.2,84.7,24.8,0.294,284.3,132.5,88.1
259,X,X,,,31,63,13.2,5.7,7.15,2.30,129.8,56.0,93.0,87.8,2114.4,13.8,39.4,480.0,75.8,18.9,0.248,149.0,158.0,53.0
260,X,X,,,42,65.5,18.5,7.8,7.13,2.22,149.4,45.8,92.1,86.2,1917.1,10.7,36.6,403.2,80.1,24.3,0.305,271.9,82.8,43.2
261,X,X,,,45,66.5,15.1,5.4,7.11,2.03,140.1,40.4,93.1,86.9,2419.5,13.6,36.1,436.2,80.0,24.0,0.299,291.1,135.0,93.3
262,X,X,X,,53,74.5,20.0,7.9,6.76,1.72,149.3,38.0,92.2,85.4,1945.0,9.2,31.2,325.5,74.4,13.3,0.178,101.0,124.3,75.2
263,X,X,,,30,69,15.1,4.6,7.23,2.06,133.4,46.4,92.8,83.8,1968.1,18.3,41.0,303.2,80.7,21.7,0.269,231.4,130.2,93.9
264,X,X,X,,31,65.5,19.8,6.6,6.69,2.15,155.9,48.5,92.1,86.6,1716.7,15.4,35.2,324.1,74.5,21.7,0.291,217.9,178.8,128.2
265,X,X,,,31,67,20.0,7.2,6.70,2.31,157.3,45.9,92.1,87.2,1652.4,10.8,47.0,458.0,83.6,33.8,0.406,360.7,136.9,52.0
266,X,X,,,29,46,14.3,2.6,7.00,2.87,142.0,NA,92.8,88.0,1710.6,NA,40.4,NA,83.1,17.7,0.211,185.2,125.7,NA
267,X,X,X,,30,67,13.7,5.8,7.43,2.01,183.0,40.4,92.2,85.6,2050.7,15.4,36.1,342.2,88.5,20.5,0.231,249.0,85.2,18.7
268,X,X,,,37,60.5,19.0,5.8,6.81,1.74,166.2,37.2,92.2,84.6,1940.5,15.0,33.8,367.7,82.0,23.6,0.288,235.9,63.4,32.1
269,X,X,,,27,54,17.4,7.8,7.05,2.08,138.1,38.8,92.9,87.2,1949.3,15.6,41.7,372.3,70.8,17.3,0.244,123.1,189.0,121.4
270,X,X,,,36,68,14.1,5.8,6.91,2.01,132.3,39.2,92.7,85.8,2069.7,13.0,34.7,373.6,75.4,16.5,0.218,177.0,147.8,97.4
271,X,X,X,,38,64.5,19.0,6.8,7.00,1.80,150.6,38.1,92.7,85.8,2019.7,15.3,44.3,379.0,75.3,19.3,0.256,197.7,200.0,113.5
272,X,X,,,27,61,19.2,7.9,6.50,2.23,154.7,42.2,92.1,86.4,1751.6,17.4,41.3,439.6,70.3,14.8,0.21,107.8,108.2,31.0
273,X,X,X,,33,71,18.2,6.6,7.16,1.90,160.4,35.9,92.7,86.8,2108.3,12.6,39.3,481.1,78.9,24.9,0.315,223.1,67.0,21.0
274,X,X,X,,31,58,18.4,7.6,6.45,2.70,181.1,67.6,91.7,87.2,1589.7,11.4,47.0,480.1,88.4,24.6,0.278,299.5,144.1,83.7
275,X,X,,,28,58.5,17.4,7.4,6.78,2.33,151.0,46.8,92.3,86.9,1755.9,13.6,32.9,388.0,85.2,28.0,0.329,270.2,141.4,33.4
276,X,X,,,49,82.5,12.1,4.1,7.05,1.94,172.3,40.2,92.1,85.0,2114.8,10.0,31.9,380.7,64.4,16.7,0.257,102.7,130.9,60.8
277,X,X,,,28,62,18.3,7.4,7.20,2.32,168.6,47.1,92.5,86.9,1921.8,14.2,44.7,357.0,78.1,20.6,0.261,183.2,119.9,32.2
278,X,X,,,32,59,12.6,4.6,6.92,2.28,158.2,54.0,92.5,85.3,1852.6,27.9,38.6,409.2,72.1,19.5,0.27,193.4,175.2,113.4
279,X,X,X,X,37,65,19.0,6.6,6.66,1.79,145.5,38.3,92.7,84.8,2007.7,16.4,40.4,367.4,75.2,19.2,0.256,200.8,214.2,112.4
280,X,X,,,25,53.5,17.7,6.8,7.03,2.17,156.2,41.6,92.8,87.3,2030.0,13.6,40.0,399.2,69.4,16.3,0.235,133.1,197.8,109.4
281,X,X,,,34,65.5,15.2,5.8,7.02,2.35,145.8,52.0,92.5,87.6,2069.0,9.1,40.2,555.8,78.6,21.8,0.277,279.4,88.9,38.8
282,X,X,,,33,66,20.8,7.0,6.22,1.78,155.9,40.4,91.6,84.4,1665.2,19.4,39.0,273.8,80.1,23.3,0.291,210.7,189.8,128.4
283,X,X,,,31,47.5,18.7,7.4,6.98,2.26,162.3,46.2,92.6,87.2,1777.5,14.0,34.2,363.0,83.4,18.0,0.215,149.6,136.7,82.5
284,X,X,,,48,73.5,23.0,5.4,6.63,2.00,133.9,37.8,91.9,86.2,1739.1,13.0,38.5,407.0,60.7,9.8,0.16,50.0,82.9,46.4
285,X,X,,,29,59.5,21.0,8.5,7.05,2.38,149.1,48.2,92.6,87.4,1969.0,15.4,34.0,445.2,73.3,23.6,0.321,216.8,124.0,29.2
286,X,X,X,,29,61.5,20.9,7.6,6.91,1.78,149.0,43.4,92.1,83.4,1817.6,13.4,34.6,269.4,77.7,18.3,0.236,189.0,114.1,77.8
288,X,X,,,29,52,14.9,5.2,7.04,2.12,137.8,40.7,93.3,88.2,2118.0,17.5,34.2,455.0,84.2,16.2,0.194,148.3,172.5,121.6
289,X,X,X,,27,53,14.4,6.4,6.94,2.16,155.9,43.2,92.5,86.2,1861.2,16.2,32.0,393.2,73.3,18.8,0.252,161.6,230.6,148.4
290,X,X,,,33,60,18.1,7.5,7.42,2.13,158.0,43.2,92.9,86.7,2155.1,16.5,37.2,372.9,61.2,14.5,0.237,95.0,146.9,67.2
291,X,X,,,34,71.5,17.6,6.4,6.47,1.93,149.8,40.4,90.4,84.2,1701.6,10.0,36.5,371.0,71.0,17.0,0.239,154.4,71.6,26.8
292,X,X,,,29,63.5,15.2,6.2,6.88,2.18,143.4,45.0,92.6,87.1,2128.4,12.6,44.7,448.0,70.2,21.2,0.302,255.3,198.8,102.5
293,X,X,,,30,62,16.2,7.4,6.91,2.18,144.9,47.4,92.4,86.6,1939.1,8.6,36.6,425.6,92.8,24.0,0.259,237.2,135.6,32.4
294,X,X,,,32,64.5,15.0,5.1,6.81,2.11,135.3,38.1,92.6,86.5,2047.4,8.5,40.3,374.8,85.2,18.4,0.216,230.4,155.5,109.6
296,X,X,,,51,76.5,16.6,5.8,6.92,2.07,143.9,40.8,92.1,86.6,1907.3,9.8,37.5,429.9,91.0,23.0,0.253,230.1,125.5,54.8
297,X,X,,,48,63,14.2,5.5,6.97,2.34,154.2,44.4,92.4,87.0,2059.1,14.2,38.4,436.0,83.1,17.7,0.209,184.4,148.7,123.3
298,X,X,X,X,30,63.5,15.3,5.4,6.86,2.30,159.7,50.6,92.5,86.6,1989.5,17.6,38.9,395.5,84.9,19.2,0.224,169.3,121.9,30.3
299,X,X,,,44,64.5,18.1,7.8,6.51,1.82,156.9,42.3,91.3,85.2,1648.6,11.8,34.4,340.6,79.0,21.2,0.267,202.2,99.3,25.6
300,X,X,X,,27,60,15.6,4.4,7.40,2.19,159.5,44.2,93.2,86.9,2180.1,11.6,38.4,411.3,82.1,19.4,0.235,214.5,85.3,38.4
301,X,X,,,27,64,16.2,6.6,7.37,2.24,162.2,46.2,92.3,86.8,2181.0,14.9,40.9,471.8,NA,NA,NA,NA,74.5,33.8
302,X,X,X,,27,57.5,16.8,7.0,6.75,2.01,134.0,39.3,92.5,85.9,1825.5,13.9,32.2,320.9,NA,NA,NA,NA,220.2,126.0
303,X,X,,,34,63.5,21.1,6.1,6.26,1.84,145.8,36.9,91.5,85.8,1539.8,12.8,44.5,392.4,NA,NA,NA,NA,104.7,49.8
304,X,X,,,27,61.5,21.8,5.8,6.85,2.58,168.0,75.3,91.8,85.8,1792.0,12.2,40.4,431.6,NA,NA,NA,NA,114.9,77.4
305,X,X,X,,26,62,19.1,8.4,6.84,2.05,151.4,40.8,92.6,85.8,1883.6,12.0,43.0,436.6,NA,NA,NA,NA,126.4,40.8
306,X,X,X,,27,60,15.8,5.7,6.83,1.97,141.4,39.2,92.4,86.6,1812.9,14.1,30.0,404.2,NA,NA,NA,NA,234.7,128.0
307,X,X,,,39,74.5,19.2,9.2,6.25,2.02,140.0,38.8,92.0,87.1,1644.6,15.4,41.1,498.5,NA,NA,NA,NA,135.2,55.5
308,X,X,X,,58,79.5,18.0,7.1,6.34,2.08,151.2,46.5,91.6,85.7,1527.8,17.2,32.4,405.0,NA,NA,NA,NA,107.4,75.1
309,X,X,X,,27,48.5,14.7,4.4,6.74,2.44,148.9,57.4,92.7,87.3,1813.7,17.4,34.3,369.4,NA,NA,NA,NA,174.3,152.5
310,X,X,,,74,86,23.3,5.4,5.93,2.52,182.7,71.9,90.6,83.6,1326.3,11.7,38.5,467.8,NA,NA,NA,NA,128.7,99.8
311,X,X,,,27,55,13.1,5.2,6.66,2.84,144.7,73.9,92.3,85.7,1652.5,28.8,36.3,421.8,NA,NA,NA,NA,196.3,174.2
312,X,X,,,43,69,18.4,3.6,6.95,2.90,151.1,91.2,92.0,85.1,1952.5,11.6,39.1,587.0,NA,NA,NA,NA,142.3,182.8
313,X,X,,,30,62.5,17.8,7.4,7.05,2.37,153.0,46.1,92.5,87.4,1958.2,15.6,40.2,492.6,NA,NA,NA,NA,105.7,21.4
314,X,X,X,,29,66.5,13.0,4.8,7.05,2.72,137.0,70.8,93.0,88.0,2111.7,10.9,41.4,468.0,NA,NA,NA,NA,195.9,143.6
315,X,X,,,31,62.5,18.4,6.2,6.40,1.78,139.8,37.0,91.9,85.2,1510.4,13.0,38.3,297.2,NA,NA,NA,NA,216.5,122.4
316,X,X,,,35,63.5,19.7,6.6,7.01,1.96,143.6,46.6,92.5,85.7,2001.1,17.5,41.5,345.7,NA,NA,NA,NA,117.1,87.6
317,X,,,,63,74,16.6,6.2,6.93,1.78,135.1,42.2,92.7,85.7,2046.1,7.8,35.1,366.2,NA,NA,NA,NA,163.1,100.4
318,X,X,,,30,59.5,18.1,7.8,6.73,1.94,130.5,43.8,92.0,85.0,1803.0,10.6,37.4,332.4,NA,NA,NA,NA,120.2,23.3
319,X,X,X,,61,85.5,14.9,5.7,6.62,1.95,151.1,40.8,91.6,85.1,1848.1,11.1,39.0,406.2,NA,NA,NA,NA,122.2,54.4
320,X,X,X,,32,65.5,17.6,5.2,6.59,1.95,141.9,36.6,92.0,86.1,1832.9,19.2,35.6,356.3,NA,NA,NA,NA,212.6,148.9
321,X,X,,,55,71,19.8,8.2,6.67,2.36,143.1,51.6,92.6,87.1,1746.7,11.0,39.7,380.6,NA,NA,NA,NA,175.5,134.8
322,X,,,,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,X,X,,,29,61,22.7,5.2,6.42,1.67,154.8,30.4,91.8,84.6,1527.4,14.3,47.5,377.8,NA,NA,NA,NA,154.7,98.3
324,X,X,,,55,86,20.0,8.4,7.05,2.30,155.3,41.8,92.2,86.2,1803.5,8.0,32.9,371.6,NA,NA,NA,NA,116.9,112.5
325,X,X,X,,32,60,15.9,6.4,6.93,2.21,163.2,52.4,92.2,87.3,1998.8,10.4,36.0,496.6,NA,NA,NA,NA,97.7,26.0
326,X,X,X,,26,63.5,13.6,3.2,7.04,3.14,145.1,71.9,92.9,87.1,2214.0,14.8,40.2,523.3,NA,NA,NA,NA,179.1,153.8
327,X,X,,,34,61.5,19.5,6.7,7.09,1.75,138.9,39.6,93.3,84.6,1955.6,21.2,41.6,367.6,NA,NA,NA,NA,119.0,79.8
328,X,X,X,,41,74.5,18.5,7.8,6.60,2.12,156.7,48.7,92.1,86.6,1882.9,7.3,44.0,449.2,NA,NA,NA,NA,113.0,23.8
329,X,X,X,X,25,45,19.7,5.9,7.00,2.44,162.3,46.0,92.8,87.2,1891.4,16.4,32.4,342.2,NA,NA,NA,NA,144.2,33.2
330,X,X,X,,27,57.5,20.5,7.7,6.76,2.30,160.6,48.9,92.0,87.4,1719.1,16.2,38.6,380.6,NA,NA,NA,NA,67.0,44.3
331,X,X,,,26,63.5,21.8,4.2,6.56,3.12,148.5,113.7,91.6,83.4,1824.5,11.1,30.7,505.8,NA,NA,NA,NA,143.9,125.2
332,X,X,,,30,66,19.8,6.8,6.31,2.12,124.0,50.4,91.9,84.8,1566.0,11.8,32.6,293.0,NA,NA,NA,NA,143.3,119.8
333,X,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,X,X,X,,27,62.5,19.6,5.4,6.75,2.92,153.0,75.6,92.4,86.5,1978.8,17.4,39.3,449.2,NA,NA,NA,NA,95.4,47.3
335,X,X,X,,27,67,17.6,5.4,7.14,2.38,176.0,66.2,91.9,86.1,1966.7,23.8,37.4,496.6,NA,NA,NA,NA,114.4,83.4
336,X,X,X,,28,62,17.5,5.8,7.33,2.05,151.6,42.8,93.2,87.1,2239.2,20.6,35.1,398.3,NA,NA,NA,NA,166.4,140.1
337,X,X,,,32,54,18.9,6.8,6.80,2.10,156.7,42.8,92.3,86.3,1865.5,7.8,30.2,306.6,NA,NA,NA,NA,145.1,93.3
